"","facet","group","bage","page","bage.2","page.2","r2"
"1","EmotionalLability","males",0.009,0.643,NA,NA,0
"2","EmotionalLability","females",-0.223,0.002,0.047,0.00428,0.009
"3","Anxiousness","males",-0.335,0,0.068,0.00161,0.028
"4","Anxiousness","females",-0.245,0.003,0.049,0.01022,0.009
"5","RestrictedAffectivity","males",-0.28,0,0.053,2e-05,0.068
"6","RestrictedAffectivity","females",0.02,0.022,NA,NA,0.005
"7","SeparationInsecurity","males",-0.326,0,0.063,0.00092,0.037
"8","SeparationInsecurity","females",-0.206,0.004,0.039,0.01553,0.009
"9","Hostility","males",-0.213,0.009,0.039,0.03808,0.019
"10","Hostility","females",-0.226,0,0.044,0.00218,0.014
"11","Perseveration","males",-0.024,0.129,NA,NA,0.004
"12","Perseveration","females",0.022,0.111,NA,NA,0.002
"13","Submissiveness","males",-0.031,0.032,NA,NA,0.008
"14","Submissiveness","females",0.001,0.946,NA,NA,0
"15","Withdrawal","males",0.105,0,NA,NA,0.039
"16","Withdrawal","females",0.08,0,NA,NA,0.02
"17","Anhedonia","males",-0.004,0.723,NA,NA,0
"18","Anhedonia","females",-0.006,0.528,NA,NA,0
"19","Depressivity","males",-0.111,0.01,0.02,0.04332,0.019
"20","Depressivity","females",-0.012,0.242,NA,NA,0.001
"21","IntimacyAvoidance","males",0.072,0,NA,NA,0.058
"22","IntimacyAvoidance","females",0.058,0,NA,NA,0.027
"23","Suspiciousness","males",-0.112,0.003,0.022,0.01213,0.021
"24","Suspiciousness","females",0.001,0.888,NA,NA,0
"25","Manipulativeness","males",-0.075,0,NA,NA,0.028
"26","Manipulativeness","females",-0.063,0,NA,NA,0.014
"27","Deceitfulness","males",-0.057,0,NA,NA,0.055
"28","Deceitfulness","females",-0.095,0,0.016,0.00726,0.02
"29","Grandiosity","males",-0.027,0.117,NA,NA,0.005
"30","Grandiosity","females",-0.008,0.45,NA,NA,0.001
"31","AttentionSeeking","males",-0.119,0,NA,NA,0.05
"32","AttentionSeeking","females",-0.213,0.002,0.032,0.03977,0.021
"33","Callousness","males",-0.002,0.876,NA,NA,0
"34","Callousness","females",-0.004,0.558,NA,NA,0
"35","Irresponsibility","males",-0.254,0,0.035,0.00243,0.134
"36","Irresponsibility","females",-0.133,0,0.023,0.0064,0.018
"37","Impulsivity","males",-0.127,0,NA,NA,0.116
"38","Impulsivity","females",-0.223,0,0.043,0.00041,0.019
"39","RigidPerfectionism","males",-0.002,0.935,NA,NA,0
"40","RigidPerfectionism","females",-0.013,0.455,NA,NA,0
"41","Distractibility","males",-0.154,0,NA,NA,0.098
"42","Distractibility","females",-0.348,0,0.066,0,0.034
"43","RiskTaking","males",-0.095,0,NA,NA,0.052
"44","RiskTaking","females",-0.148,0.001,0.023,0.02198,0.021
"45","UnusualBeliefs","males",-0.239,0,0.047,0.00096,0.034
"46","UnusualBeliefs","females",-0.004,0.811,NA,NA,0
"47","Eccentricity","males",-0.302,0,0.051,0.00376,0.053
"48","Eccentricity","females",-0.215,0,0.048,0.00028,0.012
"49","PerceptualDysregulation","males",-0.015,0.115,NA,NA,0.005
"50","PerceptualDysregulation","females",0.009,0.345,NA,NA,0.001
